Epoch 158  Global error  0.01228
Epoch 159  Global error  0.01225
Epoch 160  Global error  0.01224
Epoch 161  Global error  0.01223
Epoch 162  Global error  0.01221
Epoch 163  Global error  0.01219
Epoch 164  Global error  0.01218
Epoch 165  Global error  0.01216
Epoch 166  Global error  0.01214
Epoch 167  Global error  0.01213
Epoch 168  Global error  0.01212
Epoch 169  Global error  0.01212
Epoch 170  Global error  0.01210
Epoch 171  Global error  0.01211
Epoch 172  Global error  0.01210
Epoch 173  Global error  0.01212
Epoch 174  Global error  0.01211
Epoch 175  Global error  0.01210
Epoch 176  Global error  0.01208
Epoch 177  Global error  0.01203
Epoch 178  Global error  0.01201
Epoch 179  Global error  0.01200
Epoch 180  Global error  0.01198
Epoch 181  Global error  0.01197
Epoch 182  Global error  0.01195
Epoch 183  Global error  0.01194
Epoch 184  Global error  0.01193
Epoch 185  Global error  0.01192
Epoch 186  Global error  0.01190
Epoch 187  Global error  0.01190
Epoch 188  Global error  0.01189
Epoch 189  Global error  0.01188
Epoch 190  Global error  0.01187
Epoch 191  Global error  0.01186
Epoch 192  Global error  0.01184
Epoch 193  Global error  0.01184
Epoch 194  Global error  0.01182
Epoch 195  Global error  0.01182
Epoch 196  Global error  0.01179
Epoch 197  Global error  0.01178
Epoch 198  Global error  0.01178
Epoch 199  Global error  0.01178
Epoch 200  Global error  0.01177
Epoch 201  Global error  0.01177
Epoch 202  Global error  0.01175
Epoch 203  Global error  0.01175
Epoch 204  Global error  0.01175
Epoch 205  Global error  0.01173
Epoch 206  Global error  0.01171
Epoch 207  Global error  0.01170
Epoch 208  Global error  0.01170
Epoch 209  Global error  0.01168
Epoch 210  Global error  0.01168
Epoch 211  Global error  0.01167
Epoch 212  Global error  0.01166
Epoch 213  Global error  0.01164
Epoch 214  Global error  0.01163
Epoch 215  Global error  0.01161
Epoch 216  Global error  0.01160
Epoch 217  Global error  0.01159
Epoch 218  Global error  0.01159
Epoch 219  Global error  0.01158
Epoch 220  Global error  0.01158
Epoch 221  Global error  0.01156
Epoch 222  Global error  0.01157
Epoch 223  Global error  0.01157
Epoch 224  Global error  0.01154
Epoch 225  Global error  0.01153
Epoch 226  Global error  0.01151
Epoch 227  Global error  0.01150
Epoch 228  Global error  0.01151
Epoch 229  Global error  0.01150
Epoch 230  Global error  0.01151
Epoch 231  Global error  0.01150
Epoch 232  Global error  0.01148
Epoch 233  Global error  0.01146
Epoch 234  Global error  0.01145
Epoch 235  Global error  0.01143
